node_id,lat,lon,degree_centrality,betweenness_centrality,closeness_centrality,street_count
444747391,3.8451789,11.486559,0.000229,0.016379,4e-05,3
444747393,3.8452789,11.4865591,0.000229,0.016389,4e-05,3
444747394,3.8465579,11.4865171,0.000229,0.016383,4e-05,3
444747405,3.836137,11.4841109,0.000114,0.030013,4e-05,3
444747413,3.8501896,11.486674,0.000305,0.040016,4.1e-05,4
446767670,3.8837926,11.4954173,0.000229,0.00613,4.1e-05,3
446767671,3.8842348,11.4953451,0.000229,0.001338,4.1e-05,3
446767681,3.8856076,11.4935509,0.000229,0.000948,4e-05,3
446767682,3.8881756,11.492336,0.000305,0.019865,4e-05,4
446767684,3.8886197,11.4961676,0.000229,0.001935,4e-05,3
446767688,3.8945177,11.4972052,0.000305,0.000213,3.9e-05,4
446767697,3.8884804,11.4990974,0.000229,0.000301,4.1e-05,3
446767702,3.8910053,11.514034,0.000229,0.032373,4.2e-05,3
446767707,3.8857181,11.5001258,0.000229,0.012435,4.2e-05,3
448853476,3.9117215,11.485406,0.000229,0.009445,2e-05,3
448853479,3.9122747,11.4840959,0.000229,0.009312,1.9e-05,3
448853480,3.9125905,11.4829687,0.000229,0.009007,1.9e-05,3
448853482,3.9130003,11.4814635,0.000229,0.008635,1.8e-05,3
448853485,3.9139231,11.4806338,0.000229,0.008588,1.7e-05,3
448853486,3.9155621,11.480214,0.000229,0.00496,1.6e-05,3
448853489,3.9163301,11.4792766,0.000229,0.004809,1.6e-05,3
448853643,3.8729538,11.4531184,0.000191,0.065348,3.7e-05,3
454902365,3.8400271,11.5141033,0.000153,0.183902,4.4e-05,3
454902377,3.8465861,11.520136,0.000229,0.185568,4.5e-05,3
454902379,3.8457828,11.5188494,0.000229,0.173876,4.5e-05,3
454902386,3.8602854,11.5216309,0.000153,0.209657,4.6e-05,3
454902388,3.8537687,11.5221822,0.000229,0.203523,4.6e-05,3
454902407,3.8533851,11.522316,0.000229,0.203512,4.6e-05,3
454902411,3.8373867,11.5170716,0.000153,0.08658,4.3e-05,3
454902430,3.8454852,11.5182057,0.000229,0.173676,4.5e-05,3
454902439,3.8516715,11.521794,0.000229,0.203476,4.6e-05,3
497056391,3.8672327,11.5168053,0.000114,0.002323,4.6e-05,3
497056395,3.8670631,11.5167034,0.000114,0.003068,4.6e-05,3
497056407,3.8665526,11.5204142,0.000153,0.002348,4.5e-05,3
497056408,3.8664896,11.5204091,0.000153,0.003426,4.5e-05,3
588643330,3.8612577,11.4663832,7.6e-05,0.0,3.5e-05,1
588643363,3.8640689,11.4649538,0.000229,0.001106,3.6e-05,3
588643382,3.8584854,11.4701737,0.000229,0.001083,3.6e-05,3
619207806,3.8652416,11.5348119,0.000229,0.050126,4.4e-05,3
619207829,3.8505201,11.5547761,0.000191,0.011454,3.7e-05,3
619207830,3.8503347,11.5546547,0.000305,0.013898,3.7e-05,4
619207846,3.8507308,11.5542832,0.000229,0.017637,3.7e-05,3
619207862,3.8570702,11.5429672,0.000305,0.023986,4.1e-05,4
619207883,3.8636343,11.5459191,0.000305,0.063403,4.2e-05,4
886129960,3.8288406,11.4791033,0.000229,0.014665,3.8e-05,3
886129962,3.8320392,11.4829721,0.000229,0.022973,3.9e-05,3
886130025,3.8300308,11.477445,0.000305,0.01484,3.8e-05,4
886130044,3.8310178,11.4745258,0.000305,0.012991,3.7e-05,4
909265837,3.8738071,11.5241499,0.000305,0.006917,4.4e-05,4
909265871,3.8737943,11.5246585,0.000229,5.2e-05,4.4e-05,3
909265873,3.8686654,11.5364974,0.000229,0.001127,4.3e-05,4
909302096,3.8340921,11.4716836,0.000229,0.030451,3.7e-05,3
909302134,3.8266138,11.471159,0.000229,0.029045,3.6e-05,3
909317727,3.8882195,11.5373824,0.000305,0.000276,4.1e-05,4
909317772,3.889647,11.5368166,0.000305,0.000199,4e-05,4
927193636,3.8665319,11.5403575,0.000229,0.048852,4.3e-05,3
927193952,3.8394784,11.5512959,0.000229,0.005665,3.6e-05,3
927194054,3.8110358,11.5275604,0.000229,0.088468,3.9e-05,3
927194135,3.8740247,11.5404719,0.000305,0.097621,4.3e-05,4
927194253,3.8760834,11.5459063,0.000305,0.066939,4.2e-05,4
927194280,3.8454865,11.5526252,0.000229,0.00299,3.5e-05,3
927194361,3.8788912,11.5497431,0.000229,0.088553,4.1e-05,3
927194517,3.848994,11.5541091,0.000229,0.005047,3.6e-05,3
927194599,3.8432165,11.5515819,0.000229,0.007155,3.6e-05,3
927194654,3.8240744,11.532395,0.000229,0.039552,3.9e-05,3
927194682,3.8318615,11.5520396,0.000229,0.003272,3.3e-05,3
927194696,3.8285083,11.5501667,0.000229,0.009197,3.6e-05,3
